"","...1","record","species_code","group","run_name","scientific_name.x","common_name","breeding_date_source","breeding_start_dt","breeding_end_dt","nonbreeding_start_dt","nonbreeding_end_dt","postbreeding_migration_start_dt","postbreeding_migration_end_dt","prebreeding_migration_start_dt","prebreeding_migration_end_dt","year_round_start_dt","year_round_end_dt","Credibility Code","Sample Size","Precision","Abundance","Significance","AOU","Region","common_name.y","Region Name","Model","N Routes","Trend","2.5%CI","97.5%CI","Relative Abundance","SpecID","PassNonPass","IOCOrder","Family","BLFamilyEnglish","scientific_name.y","Data","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.5Cat","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","understory","midhigh","canopy","aerial","PelagicSpecialist","ForStrat.SpecLevel","Nocturnal","size","AB_mig","eBird_mig","AB_diet","sw_diet","AB_foraging","sw_foraging","Eastern.Western","Forest.Type","BodyMass-Value","Source_BM","date_dif","days_div"
"11",9,239,"bkhgro","migrant","bkhgro-ERD2018-EBIRD_SCIENCE-20191104-e2e09901","Pheucticus melanocephalus","Black-headed Grosbeak","ebird",2018-06-14,2018-07-06,2018-10-26,2018-03-08,2018-07-13,2018-10-19,2018-03-15,2018-06-07,"NA","NA","NA","NA","NA","NA","1",5960,"SU1","Black-headed Grosbeak","Survey-wide","Sh",1030,0.43,0.11,0.7,2.99,"13276","Passeriformes","Passeriformes","Cardinalidae","Grosbeaks, saltators and allies","Pheucticus melanocephalus","0","70","0","0","0","0","0","20","0","10","0","Invertebrate","0","0","10","0","40","50","0","0","1","0","47.13",NA,"N","NA","I","NA","F","Western","Temperate",47.13,"Elton",340,113
"12",19,206,"cerwar","migrant","cerwar-ERD2018-EBIRD_SCIENCE-20191108-53de986c","Setophaga cerulea","Cerulean Warbler","ebird",2018-05-31,2018-07-13,2018-10-26,2018-03-22,2018-07-20,2018-10-19,2018-03-29,2018-05-24,"NA","NA","Y","NA","NA","Y","2",6580,"SU1","Cerulean Warbler","Survey-wide","Dh",418,-2.12,-2.83,-1.42,0.27,"12714","Passeriformes","Passeriformes","Parulidae","New World warblers","Dendroica cerulea","1","90","0","0","0","0","0","0","10","0","0","Invertebrate","0","0","0","0","0","70","30","0","1","0","9.0399999999999991",NA,"N","NA","I","NA","F","Eastern","Temperate",9.04,"Elton",319,106
"13",20,65,"yebfly","migrant","yebfly-ERD2018-EBIRD_SCIENCE-20191108-3fc22765","Empidonax flaviventris","Yellow-bellied Flycatcher","ebird",2018-06-28,2018-07-13,2018-10-26,2018-04-12,2018-07-20,2018-10-19,2018-04-19,2018-06-21,"NA","NA","NA","NA","NA","NA","NA",4630,"SU1","Yellow-bellied Flycatcher","Survey-wide","Dh",546,1.93,-0.08,3.24,1.02,"6036","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers","Empidonax flaviventris","1","90","0","0","0","0","0","10","0","0","0","Invertebrate","0","0","20","80","0","0","0","0","1","0","11.8",NA,"N","NA","I","NA","AH","Eastern","Boreal",11.8,"Elton",347,116
"14",21,192,"prowar","migrant","prowar-ERD2018-EBIRD_SCIENCE-20191029-f73b8782","Protonotaria citrea","Prothonotary Warbler","ebird",2018-05-10,2018-07-13,2018-10-26,2018-02-22,2018-07-20,2018-10-19,2018-03-01,2018-05-03,"NA","NA","NA","NA","NA","NA","2",6370,"SU1","Prothonotary Warbler","Survey-wide","DD",748,-0.64,-1.16,-0.19,1.01,"12721","Passeriformes","Passeriformes","Parulidae","New World warblers","Protonotaria citrea","0","70","0","0","0","0","0","10","10","10","0","Invertebrate","0","0","0","20","80","0","0","0","1","0","14.3",NA,"N","NA","I","NA","F","Eastern","Temperate",14.3,"Elton",298,99
"15",43,199,"macwar","migrant","macwar-ERD2018-EBIRD_SCIENCE-20191029-bf51ad79","Geothlypis tolmiei","MacGillivray's Warbler","ebird",2018-06-21,2018-07-20,2018-10-26,2018-03-15,2018-07-27,2018-10-19,2018-03-22,2018-06-07,"NA","NA","NA","NA","NA","NA","2",6800,"SU1","MacGillivray's Warbler","Survey-wide","Dh",668,-0.55,-1.04,-0.08,6.47,"12731","Passeriformes","Passeriformes","Parulidae","New World warblers","Oporornis tolmiei","0","100","0","0","0","0","0","0","0","0","0","Invertebrate","0","0","50","50","0","0","0","0","1","0","10.4",NA,"N","NA","I","NA","F","Western","Temperate",10.4,"BOW",333,111
"16",44,74,"astfly","migrant","astfly-ERD2018-EBIRD_SCIENCE-20191105-cb348533","Myiarchus cinerascens","Ash-throated Flycatcher","ebird",2018-05-31,2018-07-20,2018-10-26,2018-02-15,2018-07-27,2018-10-19,2018-02-22,2018-05-24,"NA","NA","NA","NA","NA","NA","NA",4540,"SU1","Ash-throated Flycatcher","Survey-wide","Dh",736,0.61,-0.01,1.05,8.7,"6166","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers","Myiarchus cinerascens","0","70","0","10","0","0","0","20","0","0","0","Invertebrate","0","0","0","70","30","0","0","0","1","0","28.2",NA,"N","NA","I","NA","F","NA","NA",28.2,"Elton",312,104
"17",62,178,"hooori","migrant","hooori-ERD2018-EBIRD_SCIENCE-20191107-36767695","Icterus cucullatus","Hooded Oriole","ebird",2018-05-10,2018-08-03,2018-10-26,2018-02-22,2018-08-10,2018-10-19,2018-03-01,2018-05-03,"NA","NA","Y","NA","NA","Y","NA",5050,"SU1","Hooded Oriole","Survey-wide","Dh",155,0.82,-0.55,1.94,0.43,"13383","Passeriformes","Passeriformes","Icteridae","New World blackbirds","Icterus cucullatus","0","40","0","0","0","0","0","20","30","0","10","Omnivore","0","0","0","50","50","0","0","0","1","0","24.3",NA,"N","NA","I","NA","F","NA","Tropical",24.3,"Elton",277,92
"18",63,32,"swtkit","migrant","swtkit-ERD2018-EBIRD_SCIENCE-20191108-af1b750a","Elanoides forficatus","Swallow-tailed Kite","ebird",2018-04-12,2018-08-03,2018-10-26,2018-01-18,2018-08-10,2018-10-19,2018-01-25,2018-04-05,"NA","NA","Y","NA","NA","Y","1",3270,"SU1","Swallow-tailed Kite","Survey-wide","Sh",142,5.88,4.83,6.99,0.1,"4603","Nonpasseriformes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Elanoides forficatus","0","70","0","20","0","0","0","10","0","0","0","Invertebrate","0","0","0","50","50","0","0","0","1","0","416.24",NA,"N","NA","I","NA","F","Eastern","Temperate",465,"Elton",249,83
"19",94,75,"grcfly","migrant","grcfly-ERD2018-EBIRD_SCIENCE-20191028-3ab6d641","Myiarchus crinitus","Great Crested Flycatcher","ebird",2018-05-31,2018-08-17,2018-10-26,2018-03-08,2018-08-24,2018-10-19,2018-03-15,2018-05-24,"NA","NA","NA","NA","NA","NA","NA",4520,"SU1","Great Crested Flycatcher","Survey-wide","Dh",2720,-0.1,-0.23,0.02,2.75,"6168","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers","Myiarchus crinitus","1","60","0","0","0","0","0","40","0","0","0","Invertebrate","0","0","100","0","0","0","0","0","1","0","32.1",NA,"N","NA","I","NA","F","Eastern","Temperate",32.1,"Elton",284,95
"20",160,220,"grawar","migrant","grawar-ERD2018-EBIRD_SCIENCE-20191112-44945a1a","Setophaga graciae","Grace's Warbler","ebird",2018-05-17,2018-08-31,2018-10-26,2018-03-08,2018-09-07,2018-10-19,2018-03-15,2018-05-10,"NA","NA","NA","NA","NA","NA","2",6640,"SU1","Grace's Warbler","Survey-wide","Dh",71,-1.55,-3.6,-0.37,3.95,"12703","Passeriformes","Passeriformes","Parulidae","New World warblers","Dendroica graciae","0","100","0","0","0","0","0","0","0","0","0","Invertebrate","0","0","0","0","60","40","0","0","1","0","8.1",NA,"N","NA","I","NA","F","Western","Tropical",8.1,"Elton",256,85
"21",161,83,"bkcvir1","migrant","bkcvir1-ERD2018-EBIRD_SCIENCE-20191113-cfc38ba1","Vireo atricapilla","Black-capped Vireo","ebird",2018-04-12,2018-08-31,2018-10-26,2018-03-08,2018-09-07,2018-10-19,2018-03-15,2018-04-05,"NA","NA","NA","NA","NA","NA","NA",6300,"SUR","Black-capped Vireo","Survey-wide","Dh",9,0.046,-0.782,2.734,3.707,"7757","Passeriformes","Passeriformes","Vireonidae","Vireos and allies","Vireo atricapilla","0","90","0","0","0","0","0","0","0","10","0","Invertebrate","0","0","0","80","20","0","0","0","NA","NA","NA",NA,"N","NA","I","NA","F","NA","NA",8.87,"Elton",221,74
"22",11,22,"whtswi","migrant","whtswi-ERD2018-EBIRD_SCIENCE-20191109-1c0a4f7c","Aeronautes saxatalis","White-throated Swift","ebird",2018-05-03,2018-07-06,2018-11-02,2018-02-01,2018-07-13,2018-10-26,2018-02-08,2018-04-26,"NA","NA","NA","NA","NA","NA","NA",4250,"SU1","White-throated Swift","Survey-wide","Dh",410,-0.49,-1.62,0.29,2.31,"2408","Nonpasseriformes","Apodiformes","Apodidae","Swifts","Aeronautes saxatalis","0","100","0","0","0","0","0","0","0","0","0","Invertebrate","0","0","10","0","0","0","90","0","1","0","32.1",NA,"N","NA","I","NA","AF","Western","NA",32.1,"Elton",298,99
"23",23,241,"lazbun","migrant","lazbun-ERD2018-EBIRD_SCIENCE-20191029-b33310f2","Passerina amoena","Lazuli Bunting","ebird",2018-06-14,2018-07-13,2018-11-02,2018-03-15,2018-07-20,2018-10-26,2018-03-22,2018-06-07,"NA","NA","NA","NA","NA","NA","NA",5990,"SU1","Lazuli Bunting","Survey-wide","Dh",797,0.31,-0.17,0.78,1.91,"13311","Passeriformes","Passeriformes","Emberizidae","Buntings, American sparrows and allies","Passerina amoena","0","50","0","0","0","0","0","0","0","50","0","Omnivore","0","0","50","50","0","0","0","0","1","0","15.49",NA,"N","NA","G","NA","G","Western","Temperate",15.49,"BOW",333,111
"24",24,188,"norwat","migrant","norwat-ERD2018-EBIRD_SCIENCE-20191105-3029dbd3","Parkesia noveboracensis","Northern Waterthrush","ebird",2018-06-14,2018-07-13,2018-11-02,2018-03-22,2018-07-20,2018-10-26,2018-03-29,2018-06-07,"NA","NA","NA","NA","NA","NA","1",6750,"SU1","Northern Waterthrush","Survey-wide","Dh",1145,0.78,0.07,1.4,1.87,"12725","Passeriformes","Passeriformes","Parulidae","New World warblers","Seiurus noveboracensis","1","90","0","0","10","0","0","0","0","0","0","Invertebrate","0","0","80","20","0","0","0","0","1","0","16.3",NA,"N","NA","I","NA","G","NA","Boreal",16.3,"Elton",333,111
"25",47,226,"canwar","migrant","canwar-ERD2018-EBIRD_SCIENCE-20191101-cfd7f2fe","Cardellina canadensis","Canada Warbler","ebird",2018-06-14,2018-07-20,2018-11-02,2018-03-15,2018-07-27,2018-10-26,2018-03-22,2018-06-07,"NA","NA","Y","NA","NA","Y","2",6860,"SU1","Canada Warbler","Survey-wide","DD",827,-1.37,-2.21,-0.77,0.85,"12753","Passeriformes","Passeriformes","Parulidae","New World warblers","Wilsonia canadensis","1","90","0","0","0","0","0","10","0","0","0","Invertebrate","0","0","0","60","40","0","0","0","1","0","10.039999999999999",NA,"N","NA","I","NA","F","Eastern","Boreal",10.04,"Elton",326,109
"26",48,70,"dusfly","migrant","dusfly-ERD2018-EBIRD_SCIENCE-20191109-f2c4ea0e","Empidonax oberholseri","Dusky Flycatcher","ebird",2018-06-21,2018-07-20,2018-11-02,2018-03-08,2018-07-27,2018-10-26,2018-03-15,2018-06-14,"NA","NA","NA","NA","NA","NA","NA",4690,"SU1","Dusky Flycatcher","Survey-wide","Dh",622,0.53,-0.25,1.27,6.12,"6045","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers","Empidonax oberholseri","1","100","0","0","0","0","0","0","0","0","0","Invertebrate","0","0","20","80","0","0","0","0","1","0","10.4",NA,"N","NA","I","NA","AH","Western","Temperate",10.4,"Elton",333,111
"27",60,218,"yetwar","migrant","yetwar-ERD2018-EBIRD_SCIENCE-20191105-c78bb029","Setophaga dominica","Yellow-throated Warbler","ebird",2018-05-10,2018-06-28,2018-11-02,2018-02-08,2018-07-06,2018-10-26,2018-02-15,2018-05-03,"NA","NA","Y","NA","NA","Y","1",6630,"SU1","Yellow-throated Warbler","Survey-wide","Dh",879,0.87,0.43,1.29,0.72,"12702","Passeriformes","Passeriformes","Parulidae","New World warblers","Dendroica dominica","0","100","0","0","0","0","0","0","0","0","0","Invertebrate","0","0","0","0","20","80","0","0","1","0","9.69",NA,"N","NA","I","NA","F","Eastern","Temperate",9.69,"Elton",313,104
"28",65,179,"bulori","migrant","bulori-ERD2018-EBIRD_SCIENCE-20191026-82da1220","Icterus bullockii","Bullock's Oriole","ebird",2018-06-07,2018-08-03,2018-11-02,2018-03-08,2018-08-10,2018-10-26,2018-03-15,2018-05-31,"NA","NA","NA","NA","NA","NA","2",5080,"SU1","Bullock's Oriole","Survey-wide","Dh",1136,-0.62,-1.04,-0.29,1.92,"13381","Passeriformes","Passeriformes","Icteridae","New World blackbirds","Icterus bullockii","1","60","10","0","0","0","0","0","30","0","0","Invertebrate","0","0","30","20","20","30","0","0","1","0","37.9",NA,"N","NA","I","NA","F","Western","Temperate",37.9,"Elton",305,102
"29",96,234,"sumtan","migrant","sumtan-ERD2018-EBIRD_SCIENCE-20191104-69c61e9f","Piranga rubra","Summer Tanager","ebird",2018-06-14,2018-08-17,2018-11-02,2018-02-22,2018-08-24,2018-10-26,2018-03-08,2018-06-07,"NA","NA","NA","NA","NA","NA","NA",6100,"SU1","Summer Tanager","Survey-wide","Dh",1304,0.17,-0.02,0.35,2.69,"12913","Passeriformes","Passeriformes","Cardinalidae","Grosbeaks, saltators and allies","Piranga rubra","0","90","0","0","0","0","0","10","0","0","0","Invertebrate","0","0","0","20","30","30","20","0","1","0","29.13",NA,"N","NA","I","NA","F","Eastern","Temperate",29.13,"Elton",298,99
"30",116,68,"hamfly","migrant","hamfly-ERD2018-EBIRD_SCIENCE-20191028-32c8b89f","Empidonax hammondii","Hammond's Flycatcher","ebird",2018-06-14,2018-07-27,2018-11-02,2018-03-22,2018-08-03,2018-10-26,2018-03-29,2018-06-07,"NA","NA","NA","NA","NA","NA","NA",4680,"SU1","Hammond's Flycatcher","Survey-wide","DD",514,0.41,-0.31,1.06,6.83,"6043","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers","Empidonax hammondii","0","100","0","0","0","0","0","0","0","0","0","Invertebrate","0","0","33","33","33","0","0","0","1","0","10.44",NA,"N","NA","I","NA","AH","Western","Temperate",10.44,"Elton",319,106
"31",157,230,"heptan","migrant","heptan-ERD2018-EBIRD_SCIENCE-20191108-25f1bb10","Piranga flava","Hepatic Tanager","ebird",2018-05-17,2018-09-21,2018-11-02,2018-03-22,2018-09-28,2018-10-26,2018-03-29,2018-05-10,"NA","NA","Y","NA","NA","Y","NA",6090,"SU1","Hepatic Tanager","Survey-wide","Dh",49,1.19,-0.46,2.48,0.56,"12908","Passeriformes","Passeriformes","Cardinalidae","Grosbeaks, saltators and allies","Piranga flava","0","80","0","0","0","0","0","20","0","0","0","Invertebrate","0","0","0","10","30","60","0","0","1","0","37.700000000000003",NA,"N","NA","I","NA","F","NA","Tropical",37.7,"Elton",235,78
"32",163,30,"brbhum","migrant","brbhum-ERD2018-EBIRD_SCIENCE-20191111-e0a93267","Cynanthus latirostris","Broad-billed Hummingbird","ebird",2018-03-29,2018-08-31,2018-11-02,2018-02-08,2018-09-07,2018-10-26,2018-02-15,2018-03-22,"NA","NA","NA","NA","NA","NA","NA",4410,"SUR","Broad-billed Hummingbird","Survey-wide","Dh",7,0.008,-0.336,5.614,0.243,"2573","Nonpasseriformes","Apodiformes","Trochilidae","Hummingbirds","Cynanthus latirostris","0","10","0","0","0","0","0","0","90","0","0","FruiNect","0","0","0","50","50","0","0","0","1","0","3.1",NA,"N","NA","N","NA","F","Western","Tropical",3.1,"Elton",207,69
"33",30,26,"brthum","migrant","brthum-ERD2018-EBIRD_SCIENCE-20191109-8813519f","Selasphorus platycercus","Broad-tailed Hummingbird","ebird",2018-05-31,2018-07-13,2018-11-09,2018-02-08,2018-07-20,2018-11-02,2018-02-15,2018-05-24,"NA","NA","NA","NA","NA","NA","2",4320,"SU1","Broad-tailed Hummingbird","Survey-wide","Dh",311,-1.01,-1.84,-0.29,3.19,"2812","Nonpasseriformes","Apodiformes","Trochilidae","Hummingbirds","Selasphorus platycercus","0","10","0","0","0","0","0","0","90","0","0","FruiNect","0","0","0","80","20","0","0","0","1","0","3.54",NA,"N","NA","N","NA","F","Western","Temperate",3.54,"Elton",319,106
"34",31,67,"leafly","migrant","leafly-ERD2018-EBIRD_SCIENCE-20191104-f44b7fb8","Empidonax minimus","Least Flycatcher","ebird",2018-06-14,2018-07-13,2018-11-09,2018-04-05,2018-07-20,2018-11-02,2018-04-12,2018-06-07,"NA","NA","NA","NA","NA","NA","2",4670,"SU1","Least Flycatcher","Survey-wide","DD",1959,-1.01,-1.35,-0.69,7.63,"6042","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers","Empidonax minimus","1","90","0","0","0","0","0","10","0","0","0","Invertebrate","0","0","0","80","20","0","0","0","1","0","10",NA,"N","NA","I","NA","AH","Eastern","Temperate",10,"Elton",333,111
"35",32,211,"yelwar","migrant","yelwar-ERD2018-EBIRD_SCIENCE-20191030-23e952b3","Setophaga petechia","Yellow Warbler","ebird",2018-06-14,2018-07-13,2018-11-09,2018-03-01,2018-07-20,2018-11-02,2018-03-08,2018-06-07,"NA","NA","NA","NA","NA","NA","2",6520,"SU1","Yellow Warbler","Survey-wide","Dh",3564,-0.4,-0.64,-0.17,7.15,"12683","Passeriformes","Passeriformes","Parulidae","New World warblers","Dendroica petechia","0","100","0","0","0","0","0","0","0","0","0","Invertebrate","0","0","0","20","80","0","0","0","1","0","10.220000000000001",NA,"N","NA","I","NA","F","Eastern","Temperate",10.22,"Elton",333,111
"36",33,223,"herwar","migrant","herwar-ERD2018-EBIRD_SCIENCE-20191112-d06d0deb","Setophaga occidentalis","Hermit Warbler","ebird",2018-06-07,2018-07-13,2018-11-09,2018-03-15,2018-07-20,2018-11-02,2018-03-22,2018-05-31,"NA","NA","NA","NA","NA","NA","NA",6690,"SU1","Hermit Warbler","Survey-wide","Dh",167,0.12,-0.53,0.81,8.18,"12698","Passeriformes","Passeriformes","Parulidae","New World warblers","Dendroica occidentalis","0","100","0","0","0","0","0","0","0","0","0","Invertebrate","0","0","0","0","20","80","0","0","1","0","10.4",NA,"N","NA","I","NA","F","Western","Temperate",10.4,"Elton",326,109
"37",34,183,"scoori","migrant","scoori-ERD2018-EBIRD_SCIENCE-20191112-b18c083d","Icterus parisorum","Scott's Oriole","ebird",2018-05-24,2018-06-28,2018-11-09,2018-02-08,2018-07-20,2018-11-02,2018-02-15,2018-05-17,"NA","NA","NA","NA","NA","NA","NA",5040,"SU1","Scott's Oriole","Survey-wide","DD",236,-0.47,-1.26,0.13,1.83,"13394","Passeriformes","Passeriformes","Icteridae","New World blackbirds","Icterus parisorum","0","70","0","0","0","0","0","20","10","0","0","Invertebrate","0","0","20","40","40","0","0","0","1","0","36.479999999999997",NA,"N","NA","I","NA","F","NA","Tropical",36.48,"BOW",327,109
"38",51,186,"woewar1","migrant","woewar1-ERD2018-EBIRD_SCIENCE-20191107-a3b44fab","Helmitheros vermivorum","Worm-eating Warbler","ebird",2018-05-31,2018-07-20,2018-11-09,2018-03-15,2018-07-27,2018-11-02,2018-03-22,2018-05-24,"NA","NA","Y","NA","NA","Y","NA",6390,"SU1","Worm-eating Warbler","Survey-wide","DD",634,0.09,-0.5,0.62,0.35,"12722","Passeriformes","Passeriformes","Parulidae","New World warblers","Helmitheros vermivorum","0","100","0","0","0","0","0","0","0","0","0","Invertebrate","0","0","0","30","70","0","0","0","1","0","14.16",NA,"N","NA","I","NA","F","Eastern","Temperate",14.16,"Elton",312,104
